Community Name,Assault (Non-domestic),Break & Enter - Commercial,Break & Enter - Dwelling,Break & Enter - Other Premises,Commercial Robbery,Street Robbery,Theft FROM Vehicle,Theft OF Vehicle,Violence Other (Non-domestic)
09O,8.0,6.0,1.0,2.0,0.0,0.0,21.0,13.0,2.0
09P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
09Q,2.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,4.0
09Q & BELVEDERE,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10A,10.0,24.0,1.0,0.0,1.0,0.0,29.0,14.0,5.0
10B,1.0,2.0,0.0,0.0,0.0,1.0,11.0,2.0,0.0
10C,0.0,3.0,1.0,2.0,0.0,0.0,4.0,8.0,2.0
10D,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0
10E,2.0,22.0,2.0,1.0,0.0,0.0,15.0,15.0,2.0
12A,4.0,164.0,2.0,11.0,0.0,0.0,57.0,69.0,9.0
12B,3.0,10.0,2.0,1.0,0.0,0.0,4.0,6.0,0.0
12C,0.0,7.0,4.0,0.0,0.0,0.0,4.0,2.0,1.0
12I,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12J,1.0,33.0,0.0,4.0,0.0,0.0,9.0,14.0,0.0
12L,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13B,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13F,1.0,6.0,2.0,0.0,0.0,0.0,5.0,4.0,0.0
13G,0.0,10.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0
13M,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14V,1.0,8.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0
ABBEYDALE,80.0,13.0,43.0,35.0,20.0,11.0,247.0,171.0,46.0
ACADIA,156.0,151.0,53.0,158.0,19.0,16.0,792.0,300.0,110.0
ALBERT PARK/RADISSON HEIGHTS,252.0,152.0,126.0,147.0,35.0,46.0,588.0,346.0,120.0
ALPINE PARK,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
ALTADORE,58.0,129.0,77.0,246.0,0.0,2.0,521.0,139.0,64.0
ALYTH/BONNYBROOK,30.0,155.0,0.0,2.0,1.0,2.0,177.0,123.0,38.0
APPLEWOOD PARK,48.0,83.0,44.0,27.0,4.0,14.0,245.0,161.0,33.0
ARBOUR LAKE,123.0,229.0,94.0,31.0,29.0,43.0,428.0,146.0,66.0
ASPEN WOODS,34.0,93.0,135.0,7.0,8.0,6.0,184.0,53.0,22.0
AUBURN BAY,49.0,99.0,113.0,31.0,0.0,2.0,428.0,144.0,59.0
AURORA BUSINESS PARK,14.0,15.0,0.0,1.0,3.0,1.0,34.0,7.0,9.0
BANFF TRAIL,85.0,114.0,54.0,177.0,6.0,18.0,504.0,181.0,62.0
BANKVIEW,109.0,240.0,86.0,58.0,5.0,17.0,624.0,206.0,98.0
BAYVIEW,7.0,16.0,16.0,1.0,0.0,0.0,42.0,8.0,8.0
BEDDINGTON HEIGHTS,94.0,56.0,62.0,55.0,13.0,23.0,467.0,269.0,69.0
BEL-AIRE,1.0,5.0,20.0,1.0,0.0,0.0,19.0,7.0,0.0
BELMONT,1.0,1.0,0.0,3.0,0.0,0.0,8.0,3.0,0.0
BELTLINE,1906.0,2196.0,164.0,73.0,97.0,216.0,3218.0,694.0,558.0
BELVEDERE,7.0,2.0,0.0,0.0,3.0,3.0,18.0,11.0,2.0
BONAVISTA DOWNS,3.0,1.0,1.0,11.0,0.0,0.0,20.0,14.0,3.0
BOWNESS,482.0,193.0,134.0,168.0,20.0,35.0,714.0,429.0,173.0
BRAESIDE,51.0,28.0,37.0,50.0,9.0,7.0,217.0,69.0,26.0
BRENTWOOD,134.0,214.0,36.0,140.0,39.0,24.0,488.0,160.0,45.0
BRIDGELAND/RIVERSIDE,201.0,459.0,85.0,137.0,27.0,30.0,601.0,205.0,80.0
BRIDLEWOOD,51.0,41.0,50.0,26.0,8.0,7.0,214.0,101.0,44.0
BRITANNIA,7.0,22.0,20.0,1.0,0.0,1.0,58.0,12.0,3.0
BURNS INDUSTRIAL,15.0,127.0,1.0,2.0,1.0,0.0,160.0,61.0,28.0
CALGARY INTERNATIONAL AIRPORT,70.0,51.0,0.0,4.0,2.0,3.0,258.0,253.0,46.0
CAMBRIAN HEIGHTS,16.0,27.0,31.0,41.0,0.0,3.0,113.0,52.0,7.0
CANADA OLYMPIC PARK,5.0,18.0,0.0,1.0,0.0,1.0,25.0,7.0,7.0
CANYON MEADOWS,60.0,53.0,95.0,58.0,15.0,5.0,331.0,142.0,50.0
CAPITOL HILL,91.0,155.0,52.0,196.0,21.0,7.0,512.0,166.0,52.0
CARRINGTON,2.0,14.0,5.0,2.0,0.0,0.0,17.0,12.0,1.0
CASTLERIDGE,83.0,23.0,58.0,62.0,5.0,21.0,344.0,192.0,44.0
CEDARBRAE,39.0,10.0,29.0,44.0,0.0,12.0,209.0,59.0,36.0
CHAPARRAL,29.0,20.0,100.0,8.0,2.0,3.0,283.0,96.0,35.0
CHARLESWOOD,20.0,23.0,24.0,76.0,1.0,4.0,178.0,53.0,13.0
CHINATOWN,42.0,141.0,14.0,5.0,4.0,8.0,149.0,29.0,29.0
CHINOOK PARK,8.0,11.0,19.0,25.0,1.0,0.0,88.0,22.0,9.0
CHRISTIE PARK,16.0,4.0,47.0,2.0,0.0,0.0,79.0,29.0,7.0
CITADEL,15.0,20.0,84.0,15.0,0.0,1.0,172.0,57.0,38.0
CITYSCAPE,11.0,15.0,35.0,9.0,0.0,4.0,79.0,53.0,14.0
CLIFF BUNGALOW,98.0,150.0,29.0,38.0,9.0,10.0,390.0,92.0,47.0
COACH HILL,13.0,14.0,40.0,14.0,0.0,2.0,116.0,29.0,12.0
COLLINGWOOD,39.0,35.0,24.0,31.0,5.0,2.0,116.0,55.0,22.0
COPPERFIELD,39.0,73.0,56.0,41.0,7.0,5.0,272.0,144.0,53.0
CORAL SPRINGS,29.0,8.0,69.0,3.0,8.0,7.0,190.0,104.0,23.0
CORNERSTONE,8.0,51.0,15.0,16.0,0.0,2.0,79.0,66.0,13.0
CORNERSTONE& 05F,1.0,1.0,5.0,0.0,0.0,0.0,2.0,4.0,1.0
COUGAR RIDGE,5.0,13.0,97.0,6.0,1.0,2.0,160.0,48.0,23.0
COUNTRY HILLS,8.0,41.0,39.0,15.0,0.0,3.0,117.0,50.0,22.0
COUNTRY HILLS VILLAGE,85.0,95.0,9.0,10.0,3.0,33.0,154.0,83.0,53.0
COVENTRY HILLS,74.0,20.0,102.0,63.0,7.0,7.0,424.0,193.0,86.0
CRANSTON,51.0,78.0,132.0,34.0,6.0,6.0,371.0,130.0,71.0
CRESCENT HEIGHTS,162.0,439.0,134.0,200.0,19.0,28.0,719.0,240.0,80.0
